中性点经消弧线圈接地，一般实践中采用( )。 ,欠补偿,全补偿,过补偿,短路点不同，补偿形式不同,C
两相短路接地的附加电抗等于( )。 ,0,负序电抗串联零序电抗,负序电抗,负序电抗并联零序电抗,D
输电线路空载运行时，末端电压比首段电压( )。 ,高,低,相等,以上情况都有可能,A
供电支路首末两端电压的相量差称为( )。 ,电压降落,电压偏移,电压损耗,电压调整,A
中性点不接地系统，单相接地时，接地点接地相电流属于( )。 ,感性电流,容性电流,阻性电流,依据短路点的情况确定,B
电力线路中，电纳B主要反映各相导线之间和导线对大地之间产生的( )。 ,热效应,电容效应,磁场效应,电晕损耗,B
单相短路接地的附加电抗等于( )。 ,0,负序电抗串联零序电抗,负序电抗,负序电抗并联零序电抗,B
一般双绕组变压器分接头位于( )。 ,高压侧,低压侧,高压侧低压侧都安装,视情况而定,A
电力系统的有功电源是( )。 ,发电机,变压器,调相机,电容器,A
电网中无功功率的流向是( )。 ,从电压高的节点流向电压低的节点,从电压低的节点流向电压高的节点,从相位超前相流向相位滞后相,从相位滞后相流向相位超前相,A
电力系统中能实现无差调节的调频方式是( )。 ,一次调频,二次调频,都可以,都不能,B
变压器消耗的无功功率是( )。 ,感性,容性,为0,不确定,A
一般情况，线路的负序电抗与正序电抗的大小关系为( )。 ,正序电抗大于负序电抗,正序电抗等于负序电抗,正序电抗小于负序电抗,不确定,B
两相短路的附加电抗等于( )。 ,0,负序电抗串联零序电抗,负序电抗,负序电抗并联零序电抗,C
电力线路中，电抗X主要反映导线通过交变电流时产生的( )。 ,热效应,电场效应,磁场效应,电晕损耗,C
某线路首端电压10.5kV，末端电压10.2kV，首端电压偏移百分数为( )。 ,2.86%,2.94%,3%,5%,D
频率的二次调整是由( )。 ,发电机组的调速系统完成的,负荷的频率特性来完成,发电机组的调频系统完成的,有功功率的经济分配完成的,C
三相短路的附加电抗等于( )。 ,0,负序电抗串联零序电抗,负序电抗,负序电抗并联零序电抗,A
电力系统的允许频率偏移为( )。 ,±0.2Hz,-0.2～+0.5Hz,±0.2～±0.5Hz,±0.5Hz,C
电力线路中，电阻R主要反映线路流过电流时产生的( )。 ,热效应,电场效应,磁场效应,电晕损耗,A
某线路首端电压10.5kV，末端电压10.2kV，线路上电压损耗百分数为( )。 ,2.86%,2.94%,3%,5%,C
为了能及时向增加的负荷供电而设置的备用应是( )。 ,事故备用,检修备用,冷备用,热备用,D
电力系统无功不足时，会造成( )。 ,频率升高,频率降低,电压升高,电压降低,D
应用等面积定则判断简单系统暂态稳定时，系统稳定的条件是( )。 ,加速面积大于减速面积,加速面积小于最大可能的减速面积,加速面积为无限大,减速面积为零,B
架空线路用来传输电能的元件是( )。 ,避雷线,杆塔,金具,导线,D
越靠近短路点，负序电压的有效值( )。 ,不变,越高,越低,不受影响,B
电力系统无功过剩时，会造成( )。 ,频率升高,频率降低,电压升高,电压降低,C
无限大功率电源供电系统发生三相短路，短路电流的周期分量的幅值( )。 ,A、B、C三相都相同,只有B、C两相相同,只有A、B两相相同,只有A、C两相相同,A
两端电源电网初步功率分布计算的目的是确定( )。 ,电流,功率分点,电压损耗,功率损耗,B
一般情况，三相架空线路的正序电抗与零序电抗的大小关系为( )。 ,正序电抗小于零序电抗,正序电抗等于零序电抗,正序电抗大于零序电抗,不确定,A
目前在架空输电线路上应用最广的导线是( )。 ,钢芯铝绞线,铜导线,钢导线,铝导线,A
在系统运行中，调频厂最好由( )担任。 ,核电厂,热电厂,高效率机组电厂,非洪水季节的水电厂,D
电力系统中所用的阻抗指的是( )。 ,一相等值阻抗,两相阻抗,三相阻抗,四相阻抗,A
关于电力元件的正序阻抗、负序阻抗和零序阻抗阻抗，下述说法中错误的是( )。 ,静止元件的正序阻抗等于负序阻抗,旋转元件的正序阻抗、负序阻抗和零序阻抗严格讲各不相同,静止元件的正序阻抗、负序阻抗和零序阻抗都不相同,电抗器正序阻抗、负序阻抗和零序阻抗相等,C
中断供电会造成重要设备损坏的负荷是( )。 ,一级负荷,二级负荷,三级负荷,其他负荷,A
输电线路上消耗的总无功功率为( )。 ,零,容性,感性,以上都有可能,D
下列故障类型中，属于对称短路故障为( )。 ,单相接地短路,两相短路,三相短路,两相接地短路,C
电力系统频率主要取决于( )。 ,无功平衡,有功平衡,各节点电压的高低,各节点注入电流的大小,B
某变压器铭牌上额定电压为220±3×2.5%，它共有( )个分接头。 ,3个,4个,6个,7个,D
电力系统发生三相短路，短路电流中非周期分量( )。 ,保持初始值不变,按指数形式衰减,按指数形式增大,三相相等,B
某变压器铭牌上额定电压为110±2×2.5%，分接头电压为( )。 ,115.5kV，112.75kV，110kV，107.25kV，104.5kV,117kV，115kV，110kV，108kV，104kV,125kV，122kV，12lkV，110kV，105kV,125kV，121.5kV，ll0kV，107.5kV，104.5kV,A
短路的最大有效值电流主要是检验电气设备和载流导体的( )。 ,断流能力,热稳定性,机械效应,电流效应,A
提高电力系统静态稳定性的原则是( )。 ,提高系统电压,采用自动励磁调节装置,减少元件的电抗,尽可能的增加系统的静态稳定极限,D
输电线路等效电路中消耗无功功率的是电抗和( )。 ,电流,电阻,电纳,电导,C
电压控制的目的不包括( )。 ,保持电网枢纽电压水平，保证系统稳定运行,保持供电电压在正常范围内，保证用户的供电质量,减小网络损耗,保持系统有功功率平衡,D
电压稳定需要保持( )。 ,有功功率平衡,无功功率平衡,频率恒定,发电机组的装机容量大,B
发电机的额定电压比所连线路的额定电压高( )。 ,5%,10%衡,0%,7.50%,A
短路冲击电流主要是检验电气设备和载流导体的( )。 ,动稳定性,热稳定性,机械效应,电流效应,A
电力网无功补偿的原则( )。 ,无功电力分层分区就地平衡,电压稳定,频率稳定,有功功率平衡,A
快速切除故障是让加速面积( )。 ,减小,增加,不变,不确定,A
装设自动重合闸是让最大可能的减速面积( )。 ,减小,增加,不变,不确定,B
设置开关站是让加速面积( )。 ,减小,增加,不变,不确定,C
减小原动机的机械功率是让最大可能的减速面积( )。 ,减小,增加,不变,不确定,B
当加速面积和最大可能的减速面积相等时切除故障此时的功率角称为( )。 ,极限切除角,故障切除角,功率因数角,相角,A
当故障切除角( )极限切除角，系统具有暂态稳定性。 ,大于,小于,相等,不确定,B
当故障切除时间( )极限切除时间，系统具有暂态稳定性。 ,大于,小于,相等,不确定,B
当加速面积和减速面积( )，系统具有暂态稳定性，这就是等面积定则。 ,大于,小于,相等,不确定,C
提高系统暂态稳定性的原则( )。 ,尽可能的减小加速面积，增加最大可能的减速面积,尽可能的增加加速面积，减小最大可能的减速面积,增大极限切除角,减小极限切除时间,A
降压变压器一次侧的额定比线路的额定电压高( )。 ,5%,10%,相等,不确定,C
大容量降压变压器二次侧的额定比线路的额定电压高( )。 ,5%,10%,相等,不确定,B
快速控制调速汽门可以让加速面积( )。 ,减小,增加,不变,不确定,C
( )不可以提高系统静态稳定性。 ,采用分裂导线,系统中设置无功补偿装置,改变变压器的分接头,快速控制调速汽门,D
中断供电会造成重要设备损坏的负荷是( )。 ,一级负荷,二级负荷,三级负荷,其他负荷,A
电力系统频率主要取决于( )。 ,无功平衡,有功平衡,各节点电压的高低,各节点注入电流的大小,B
电网中无功功率的流向是( )。 ,从电压高的节点流向电压低的节点,从电压低的节点流向电压高的节点,从相位超前相流向相位滞后相,从相位滞后相流向相位超前相,A
一般双绕组变压器分接头位于( )。 ,高压侧,低压侧,高压侧低压侧都安装,视情况而定,A
架空线路的绝缘子是用来保持( )绝缘的。 ,导线和导线之间,导线和杆塔之间,导线与大地之间,导线与电气设备之间,B
有功功率的单位是( )。 ,kV,kW,kVA,kVar,B
下列设备不属于电力网的是( )。 ,发电机,变压器,配电线路,输电线路,A
一般情况，线路的负序电抗与正序电抗的大小关系为( )。 ,正序电抗大于负序电抗,正序电抗等于负序电抗,正序电抗小于负序电抗,不确定,B
电力系统有功不足时，会造成( )。 ,频率升高,频率降低,电压升高,无功减少,B
电力系统电压主要取决于( )。 ,无功平衡,有功平衡,各节点电压的高低,各节点注入电流的大小,A
